,asset_name,date,opening_value,closing_value,period_yield
0,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-01,0.9286,0.9286,0.0
1,Euró likviditás eszközalap - D,2025-07-01,0.9248,0.925,0.0002
2,Európai ingatlancégek részv. eszközalap,2025-07-01,1.912,1.9225,0.0055
3,Európai kötvény eszközalap - D,2025-07-01,1.2312,1.2332,0.0016
4,Európai részvény eszközalap,2025-07-01,2.5093,2.4966,-0.0051
5,Európai vállalati kötvény eszközalap,2025-07-01,1.3146,1.3169,0.0018
6,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-01,1.0174,1.0202,0.0028
7,Fejlõdõ ázsiai részvény eszközalap,2025-07-01,2.0138,2.0137,0.0
8,Fenntartható növekedés részvény eszk.,2025-07-01,3.0244,3.0074,-0.0056
9,Globális egészségügyi részvény eszk.,2025-07-01,3.1975,3.2128,0.0048
10,Globális növekedési részvény eszközalap,2025-07-01,2.2508,2.2384,-0.0055
11,Kiegyensúlyozott vegyes eszközalap - D,2025-07-01,1.3736,1.3738,0.0002
12,Latin-amerikai részvény eszközalap,2025-07-01,1.0879,1.0957,0.0072
13,Magas kötvény arányú vegyes eszk. - D,2025-07-01,1.0927,1.0938,0.001
14,Magas védelmû vegyes eszközalap,2025-07-01,1.0894,1.0885,-0.0008
15,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-01,3.158,3.1954,0.0118
16,Nyersanyagpiaci részvény eszközalap,2025-07-01,1.2873,1.3008,0.0105
17,Presztízs- és luxusmárkák rv. ea.,2025-07-01,3.3474,3.3824,0.0105
18,USA részvény eszközalap,2025-07-01,4.1783,4.1594,-0.0045
19,Ázsia kötvény eszközalap,2025-07-01,2.1914,2.1809,-0.0048
20,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-02,0.9286,0.9283,-0.0002
21,Euró likviditás eszközalap - D,2025-07-02,0.925,0.9247,-0.0003
22,Európai ingatlancégek részv. eszközalap,2025-07-02,1.9225,1.8802,-0.022
23,Európai kötvény eszközalap - D,2025-07-02,1.2332,1.2298,-0.0027
24,Európai részvény eszközalap,2025-07-02,2.4966,2.5049,0.0033
25,Európai vállalati kötvény eszközalap,2025-07-02,1.3169,1.3164,-0.0004
26,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-02,1.0202,1.021,0.0008
27,Fejlõdõ ázsiai részvény eszközalap,2025-07-02,2.0137,2.0128,-0.0005
28,Fenntartható növekedés részvény eszk.,2025-07-02,3.0074,3.0103,0.001
29,Globális egészségügyi részvény eszk.,2025-07-02,3.2128,3.2305,0.0055
30,Globális növekedési részvény eszközalap,2025-07-02,2.2384,2.2297,-0.0039
31,Kiegyensúlyozott vegyes eszközalap - D,2025-07-02,1.3738,1.3727,-0.0008
32,Latin-amerikai részvény eszközalap,2025-07-02,1.0957,1.0945,-0.001
33,Magas kötvény arányú vegyes eszk. - D,2025-07-02,1.0938,1.0918,-0.0019
34,Magas védelmû vegyes eszközalap,2025-07-02,1.0885,1.0899,0.0013
35,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-02,3.1954,3.1761,-0.006
36,Nyersanyagpiaci részvény eszközalap,2025-07-02,1.3008,1.3173,0.0127
37,Presztízs- és luxusmárkák rv. ea.,2025-07-02,3.3824,3.4428,0.0179
38,USA részvény eszközalap,2025-07-02,4.1594,4.1886,0.007
39,Ázsia kötvény eszközalap,2025-07-02,2.1809,2.1844,0.0016
40,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-03,0.9283,0.9311,0.003
41,Euró likviditás eszközalap - D,2025-07-03,0.9247,0.9252,0.0005
42,Európai ingatlancégek részv. eszközalap,2025-07-03,1.8802,1.8885,0.0044
43,Európai kötvény eszközalap - D,2025-07-03,1.2298,1.2329,0.0025
44,Európai részvény eszközalap,2025-07-03,2.5049,2.5182,0.0053
45,Európai vállalati kötvény eszközalap,2025-07-03,1.3164,1.3196,0.0024
46,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-03,1.021,1.0334,0.0122
47,Fejlõdõ ázsiai részvény eszközalap,2025-07-03,2.0128,2.0378,0.0124
48,Fenntartható növekedés részvény eszk.,2025-07-03,3.0103,3.042,0.0105
49,Globális egészségügyi részvény eszk.,2025-07-03,3.2305,3.2174,-0.0041
50,Globális növekedési részvény eszközalap,2025-07-03,2.2297,2.2521,0.0101
51,Kiegyensúlyozott vegyes eszközalap - D,2025-07-03,1.3727,1.3799,0.0053
52,Latin-amerikai részvény eszközalap,2025-07-03,1.0945,1.1109,0.0149
53,Magas kötvény arányú vegyes eszk. - D,2025-07-03,1.0918,1.0961,0.0039
54,Magas védelmû vegyes eszközalap,2025-07-03,1.0899,1.0909,0.0009
55,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-03,3.1761,3.1943,0.0057
56,Nyersanyagpiaci részvény eszközalap,2025-07-03,1.3173,1.3229,0.0043
57,Presztízs- és luxusmárkák rv. ea.,2025-07-03,3.4428,3.4694,0.0077
58,USA részvény eszközalap,2025-07-03,4.1886,4.2284,0.0095
59,Ázsia kötvény eszközalap,2025-07-03,2.1844,2.181,-0.0015
60,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-04,0.9311,0.9311,0.0
61,Euró likviditás eszközalap - D,2025-07-04,0.9252,0.9256,0.0004
62,Európai ingatlancégek részv. eszközalap,2025-07-04,1.8885,1.8764,-0.0064
63,Európai kötvény eszközalap - D,2025-07-04,1.2329,1.2344,0.0012
64,Európai részvény eszközalap,2025-07-04,2.5182,2.4958,-0.0089
65,Európai vállalati kötvény eszközalap,2025-07-04,1.3196,1.3209,0.001
66,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-04,1.0334,1.0234,-0.0097
67,Fejlõdõ ázsiai részvény eszközalap,2025-07-04,2.0378,2.0195,-0.009
68,Fenntartható növekedés részvény eszk.,2025-07-04,3.042,3.0419,0.0
69,Globális egészségügyi részvény eszk.,2025-07-04,3.2174,3.2224,0.0016
70,Globális növekedési részvény eszközalap,2025-07-04,2.2521,2.2521,0.0
71,Kiegyensúlyozott vegyes eszközalap - D,2025-07-04,1.3799,1.3809,0.0007
72,Latin-amerikai részvény eszközalap,2025-07-04,1.1109,1.1083,-0.0023
73,Magas kötvény arányú vegyes eszk. - D,2025-07-04,1.0961,1.097,0.0009
74,Magas védelmû vegyes eszközalap,2025-07-04,1.0909,1.0889,-0.0018
75,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-04,3.1943,3.1881,-0.0019
76,Nyersanyagpiaci részvény eszközalap,2025-07-04,1.3229,1.3138,-0.0069
77,Presztízs- és luxusmárkák rv. ea.,2025-07-04,3.4694,3.4326,-0.0106
78,USA részvény eszközalap,2025-07-04,4.2284,4.2283,0.0
79,Ázsia kötvény eszközalap,2025-07-04,2.181,2.1851,0.0019
80,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-07,0.9311,0.9311,0.0
81,Euró likviditás eszközalap - D,2025-07-07,0.9256,0.9256,0.0
82,Európai ingatlancégek részv. eszközalap,2025-07-07,1.8764,1.8764,0.0
83,Európai kötvény eszközalap - D,2025-07-07,1.2344,1.2344,0.0
84,Európai részvény eszközalap,2025-07-07,2.4958,2.4958,0.0
85,Európai vállalati kötvény eszközalap,2025-07-07,1.3209,1.3209,0.0
86,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-07,1.0234,1.0234,0.0
87,Fejlõdõ ázsiai részvény eszközalap,2025-07-07,2.0195,2.0195,0.0
88,Fenntartható növekedés részvény eszk.,2025-07-07,3.0419,3.0419,0.0
89,Globális egészségügyi részvény eszk.,2025-07-07,3.2224,3.2224,0.0
90,Globális növekedési részvény eszközalap,2025-07-07,2.2521,2.2521,0.0
91,Kiegyensúlyozott vegyes eszközalap - D,2025-07-07,1.3809,1.3809,0.0
92,Latin-amerikai részvény eszközalap,2025-07-07,1.1083,1.1083,0.0
93,Magas kötvény arányú vegyes eszk. - D,2025-07-07,1.097,1.097,0.0
94,Magas védelmû vegyes eszközalap,2025-07-07,1.0889,1.0889,0.0
95,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-07,3.1881,3.1881,0.0
96,Nyersanyagpiaci részvény eszközalap,2025-07-07,1.3138,1.3138,0.0
97,Presztízs- és luxusmárkák rv. ea.,2025-07-07,3.4326,3.4326,0.0
98,USA részvény eszközalap,2025-07-07,4.2283,4.2283,0.0
99,Ázsia kötvény eszközalap,2025-07-07,2.1851,2.1851,0.0
100,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-07,0.9311,0.9311,0.0
101,Euró likviditás eszközalap - D,2025-07-07,0.9256,0.9256,0.0
102,Európai ingatlancégek részv. eszközalap,2025-07-07,1.8764,1.8764,0.0
103,Európai kötvény eszközalap - D,2025-07-07,1.2344,1.2344,0.0
104,Európai részvény eszközalap,2025-07-07,2.4958,2.4958,0.0
105,Európai vállalati kötvény eszközalap,2025-07-07,1.3209,1.3209,0.0
106,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-07,1.0234,1.0234,0.0
107,Fejlõdõ ázsiai részvény eszközalap,2025-07-07,2.0195,2.0195,0.0
108,Fenntartható növekedés részvény eszk.,2025-07-07,3.0419,3.0419,0.0
109,Globális egészségügyi részvény eszk.,2025-07-07,3.2224,3.2224,0.0
110,Globális növekedési részvény eszközalap,2025-07-07,2.2521,2.2521,0.0
111,Kiegyensúlyozott vegyes eszközalap - D,2025-07-07,1.3809,1.3809,0.0
112,Latin-amerikai részvény eszközalap,2025-07-07,1.1083,1.1083,0.0
113,Magas kötvény arányú vegyes eszk. - D,2025-07-07,1.097,1.097,0.0
114,Magas védelmû vegyes eszközalap,2025-07-07,1.0889,1.0889,0.0
115,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-07,3.1881,3.1881,0.0
116,Nyersanyagpiaci részvény eszközalap,2025-07-07,1.3138,1.3138,0.0
117,Presztízs- és luxusmárkák rv. ea.,2025-07-07,3.4326,3.4326,0.0
118,USA részvény eszközalap,2025-07-07,4.2283,4.2283,0.0
119,Ázsia kötvény eszközalap,2025-07-07,2.1851,2.1851,0.0
120,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-07,0.9311,0.9311,0.0
121,Euró likviditás eszközalap - D,2025-07-07,0.9256,0.9256,0.0
122,Európai ingatlancégek részv. eszközalap,2025-07-07,1.8764,1.8764,0.0
123,Európai kötvény eszközalap - D,2025-07-07,1.2344,1.2344,0.0
124,Európai részvény eszközalap,2025-07-07,2.4958,2.4958,0.0
125,Európai vállalati kötvény eszközalap,2025-07-07,1.3209,1.3209,0.0
126,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-07,1.0234,1.0234,0.0
127,Fejlõdõ ázsiai részvény eszközalap,2025-07-07,2.0195,2.0195,0.0
128,Fenntartható növekedés részvény eszk.,2025-07-07,3.0419,3.0419,0.0
129,Globális egészségügyi részvény eszk.,2025-07-07,3.2224,3.2224,0.0
130,Globális növekedési részvény eszközalap,2025-07-07,2.2521,2.2521,0.0
131,Kiegyensúlyozott vegyes eszközalap - D,2025-07-07,1.3809,1.3809,0.0
132,Latin-amerikai részvény eszközalap,2025-07-07,1.1083,1.1083,0.0
133,Magas kötvény arányú vegyes eszk. - D,2025-07-07,1.097,1.097,0.0
134,Magas védelmû vegyes eszközalap,2025-07-07,1.0889,1.0889,0.0
135,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-07,3.1881,3.1881,0.0
136,Nyersanyagpiaci részvény eszközalap,2025-07-07,1.3138,1.3138,0.0
137,Presztízs- és luxusmárkák rv. ea.,2025-07-07,3.4326,3.4326,0.0
138,USA részvény eszközalap,2025-07-07,4.2283,4.2283,0.0
139,Ázsia kötvény eszközalap,2025-07-07,2.1851,2.1851,0.0
140,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-08,0.9283,0.9274,-0.001
141,Euró likviditás eszközalap - D,2025-07-08,0.9252,0.9248,-0.0005
142,Európai ingatlancégek részv. eszközalap,2025-07-08,1.8724,1.8516,-0.0111
143,Európai kötvény eszközalap - D,2025-07-08,1.2315,1.2286,-0.0023
144,Európai részvény eszközalap,2025-07-08,2.5173,2.5236,0.0025
145,Európai vállalati kötvény eszközalap,2025-07-08,1.3193,1.3176,-0.0013
146,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-08,1.0236,1.0243,0.0007
147,Fejlõdõ ázsiai részvény eszközalap,2025-07-08,2.0325,2.0491,0.0082
148,Fenntartható növekedés részvény eszk.,2025-07-08,3.0323,3.034,0.0006
149,Globális egészségügyi részvény eszk.,2025-07-08,3.2042,3.2015,-0.0008
150,Globális növekedési részvény eszközalap,2025-07-08,2.2422,2.2472,0.0022
151,Kiegyensúlyozott vegyes eszközalap - D,2025-07-08,1.3778,1.3758,-0.0014
152,Latin-amerikai részvény eszközalap,2025-07-08,1.0986,1.0886,-0.0091
153,Magas kötvény arányú vegyes eszk. - D,2025-07-08,1.0944,1.0923,-0.0019
154,Magas védelmû vegyes eszközalap,2025-07-08,1.0909,1.0921,0.0012
155,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-08,3.1965,3.1853,-0.0035
156,Nyersanyagpiaci részvény eszközalap,2025-07-08,1.3147,1.3154,0.0005
157,Presztízs- és luxusmárkák rv. ea.,2025-07-08,3.4395,3.4811,0.0121
158,USA részvény eszközalap,2025-07-08,4.1973,4.2023,0.0012
159,Ázsia kötvény eszközalap,2025-07-08,2.1904,2.1824,-0.0036
160,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-09,0.9274,0.9304,0.0033
161,Euró likviditás eszközalap - D,2025-07-09,0.9248,0.925,0.0002
162,Európai ingatlancégek részv. eszközalap,2025-07-09,1.8516,1.8641,0.0067
163,Európai kötvény eszközalap - D,2025-07-09,1.2286,1.2297,0.0009
164,Európai részvény eszközalap,2025-07-09,2.5236,2.5534,0.0118
165,Európai vállalati kötvény eszközalap,2025-07-09,1.3176,1.3187,0.0008
166,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-09,1.0243,1.0231,-0.0012
167,Fejlõdõ ázsiai részvény eszközalap,2025-07-09,2.0491,2.0509,0.0009
168,Fenntartható növekedés részvény eszk.,2025-07-09,3.034,3.0479,0.0046
169,Globális egészségügyi részvény eszk.,2025-07-09,3.2015,3.204,0.0008
170,Globális növekedési részvény eszközalap,2025-07-09,2.2472,2.2476,0.0002
171,Kiegyensúlyozott vegyes eszközalap - D,2025-07-09,1.3758,1.3785,0.002
172,Latin-amerikai részvény eszközalap,2025-07-09,1.0886,1.0861,-0.0023
173,Magas kötvény arányú vegyes eszk. - D,2025-07-09,1.0923,1.0939,0.0015
174,Magas védelmû vegyes eszközalap,2025-07-09,1.0921,1.0955,0.003
175,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-09,3.1853,3.1608,-0.0077
176,Nyersanyagpiaci részvény eszközalap,2025-07-09,1.3154,1.3139,-0.0012
177,Presztízs- és luxusmárkák rv. ea.,2025-07-09,3.4811,3.4892,0.0023
178,USA részvény eszközalap,2025-07-09,4.2023,4.2202,0.0042
179,Ázsia kötvény eszközalap,2025-07-09,2.1824,2.1905,0.0037
180,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-10,0.9304,0.9305,0.0001
181,Euró likviditás eszközalap - D,2025-07-10,0.925,0.9245,-0.0005
182,Európai ingatlancégek részv. eszközalap,2025-07-10,1.8641,1.8576,-0.0035
183,Európai kötvény eszközalap - D,2025-07-10,1.2297,1.2273,-0.002
184,Európai részvény eszközalap,2025-07-10,2.5534,2.5507,-0.0011
185,Európai vállalati kötvény eszközalap,2025-07-10,1.3187,1.3172,-0.0011
186,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-10,1.0231,1.0273,0.0041
187,Fejlõdõ ázsiai részvény eszközalap,2025-07-10,2.0509,2.0544,0.0017
188,Fenntartható növekedés részvény eszk.,2025-07-10,3.0479,3.0518,0.0013
189,Globális egészségügyi részvény eszk.,2025-07-10,3.204,3.2298,0.008
190,Globális növekedési részvény eszközalap,2025-07-10,2.2476,2.2523,0.0021
191,Kiegyensúlyozott vegyes eszközalap - D,2025-07-10,1.3785,1.38,0.0011
192,Latin-amerikai részvény eszközalap,2025-07-10,1.0861,1.0627,-0.0216
193,Magas kötvény arányú vegyes eszk. - D,2025-07-10,1.0939,1.0935,-0.0003
194,Magas védelmû vegyes eszközalap,2025-07-10,1.0955,1.0953,-0.0001
195,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-10,3.1608,3.184,0.0074
196,Nyersanyagpiaci részvény eszközalap,2025-07-10,1.3139,1.3353,0.0163
197,Presztízs- és luxusmárkák rv. ea.,2025-07-10,3.4892,3.554,0.0186
198,USA részvény eszközalap,2025-07-10,4.2202,4.2421,0.0052
199,Ázsia kötvény eszközalap,2025-07-10,2.1905,2.1917,0.0005
200,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-11,0.9305,0.9269,-0.0039
201,Euró likviditás eszközalap - D,2025-07-11,0.9245,0.9242,-0.0003
202,Európai ingatlancégek részv. eszközalap,2025-07-11,1.8576,1.8458,-0.0063
203,Európai kötvény eszközalap - D,2025-07-11,1.2273,1.2254,-0.0015
204,Európai részvény eszközalap,2025-07-11,2.5507,2.5312,-0.0076
205,Európai vállalati kötvény eszközalap,2025-07-11,1.3172,1.3157,-0.0011
206,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-11,1.0273,1.0236,-0.0036
207,Fejlõdõ ázsiai részvény eszközalap,2025-07-11,2.0544,2.0428,-0.0056
208,Fenntartható növekedés részvény eszk.,2025-07-11,3.0518,3.0327,-0.0063
209,Globális egészségügyi részvény eszk.,2025-07-11,3.2298,3.2142,-0.0048
210,Globális növekedési részvény eszközalap,2025-07-11,2.2523,2.2332,-0.0085
211,Kiegyensúlyozott vegyes eszközalap - D,2025-07-11,1.38,1.3765,-0.0025
212,Latin-amerikai részvény eszközalap,2025-07-11,1.0627,1.0455,-0.0161
213,Magas kötvény arányú vegyes eszk. - D,2025-07-11,1.0935,1.0912,-0.0022
214,Magas védelmû vegyes eszközalap,2025-07-11,1.0953,1.0926,-0.0025
215,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-11,3.184,3.1542,-0.0094
216,Nyersanyagpiaci részvény eszközalap,2025-07-11,1.3353,1.3194,-0.0119
217,Presztízs- és luxusmárkák rv. ea.,2025-07-11,3.554,3.5244,-0.0083
218,USA részvény eszközalap,2025-07-11,4.2421,4.2232,-0.0045
219,Ázsia kötvény eszközalap,2025-07-11,2.1917,2.1971,0.0025
220,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-14,0.9269,0.9269,0.0
221,Euró likviditás eszközalap - D,2025-07-14,0.9242,0.9242,0.0
222,Európai ingatlancégek részv. eszközalap,2025-07-14,1.8458,1.8458,0.0
223,Európai kötvény eszközalap - D,2025-07-14,1.2254,1.2254,0.0
224,Európai részvény eszközalap,2025-07-14,2.5312,2.5312,0.0
225,Európai vállalati kötvény eszközalap,2025-07-14,1.3157,1.3157,0.0
226,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-14,1.0236,1.0236,0.0
227,Fejlõdõ ázsiai részvény eszközalap,2025-07-14,2.0428,2.0428,0.0
228,Fenntartható növekedés részvény eszk.,2025-07-14,3.0327,3.0327,0.0
229,Globális egészségügyi részvény eszk.,2025-07-14,3.2142,3.2142,0.0
230,Globális növekedési részvény eszközalap,2025-07-14,2.2332,2.2332,0.0
231,Kiegyensúlyozott vegyes eszközalap - D,2025-07-14,1.3765,1.3765,0.0
232,Latin-amerikai részvény eszközalap,2025-07-14,1.0455,1.0455,0.0
233,Magas kötvény arányú vegyes eszk. - D,2025-07-14,1.0912,1.0912,0.0
234,Magas védelmû vegyes eszközalap,2025-07-14,1.0926,1.0926,0.0
235,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-14,3.1542,3.1542,0.0
236,Nyersanyagpiaci részvény eszközalap,2025-07-14,1.3194,1.3194,0.0
237,Presztízs- és luxusmárkák rv. ea.,2025-07-14,3.5244,3.5244,0.0
238,USA részvény eszközalap,2025-07-14,4.2232,4.2232,0.0
239,Ázsia kötvény eszközalap,2025-07-14,2.1971,2.1971,0.0
240,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-14,0.9269,0.9269,0.0
241,Euró likviditás eszközalap - D,2025-07-14,0.9242,0.9242,0.0
242,Európai ingatlancégek részv. eszközalap,2025-07-14,1.8458,1.8458,0.0
243,Európai kötvény eszközalap - D,2025-07-14,1.2254,1.2254,0.0
244,Európai részvény eszközalap,2025-07-14,2.5312,2.5312,0.0
245,Európai vállalati kötvény eszközalap,2025-07-14,1.3157,1.3157,0.0
246,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-14,1.0236,1.0236,0.0
247,Fejlõdõ ázsiai részvény eszközalap,2025-07-14,2.0428,2.0428,0.0
248,Fenntartható növekedés részvény eszk.,2025-07-14,3.0327,3.0327,0.0
249,Globális egészségügyi részvény eszk.,2025-07-14,3.2142,3.2142,0.0
250,Globális növekedési részvény eszközalap,2025-07-14,2.2332,2.2332,0.0
251,Kiegyensúlyozott vegyes eszközalap - D,2025-07-14,1.3765,1.3765,0.0
252,Latin-amerikai részvény eszközalap,2025-07-14,1.0455,1.0455,0.0
253,Magas kötvény arányú vegyes eszk. - D,2025-07-14,1.0912,1.0912,0.0
254,Magas védelmû vegyes eszközalap,2025-07-14,1.0926,1.0926,0.0
255,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-14,3.1542,3.1542,0.0
256,Nyersanyagpiaci részvény eszközalap,2025-07-14,1.3194,1.3194,0.0
257,Presztízs- és luxusmárkák rv. ea.,2025-07-14,3.5244,3.5244,0.0
258,USA részvény eszközalap,2025-07-14,4.2232,4.2232,0.0
259,Ázsia kötvény eszközalap,2025-07-14,2.1971,2.1971,0.0
260,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-14,0.9269,0.9269,0.0
261,Euró likviditás eszközalap - D,2025-07-14,0.9242,0.9242,0.0
262,Európai ingatlancégek részv. eszközalap,2025-07-14,1.8458,1.8458,0.0
263,Európai kötvény eszközalap - D,2025-07-14,1.2254,1.2254,0.0
264,Európai részvény eszközalap,2025-07-14,2.5312,2.5312,0.0
265,Európai vállalati kötvény eszközalap,2025-07-14,1.3157,1.3157,0.0
266,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-14,1.0236,1.0236,0.0
267,Fejlõdõ ázsiai részvény eszközalap,2025-07-14,2.0428,2.0428,0.0
268,Fenntartható növekedés részvény eszk.,2025-07-14,3.0327,3.0327,0.0
269,Globális egészségügyi részvény eszk.,2025-07-14,3.2142,3.2142,0.0
270,Globális növekedési részvény eszközalap,2025-07-14,2.2332,2.2332,0.0
271,Kiegyensúlyozott vegyes eszközalap - D,2025-07-14,1.3765,1.3765,0.0
272,Latin-amerikai részvény eszközalap,2025-07-14,1.0455,1.0455,0.0
273,Magas kötvény arányú vegyes eszk. - D,2025-07-14,1.0912,1.0912,0.0
274,Magas védelmû vegyes eszközalap,2025-07-14,1.0926,1.0926,0.0
275,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-14,3.1542,3.1542,0.0
276,Nyersanyagpiaci részvény eszközalap,2025-07-14,1.3194,1.3194,0.0
277,Presztízs- és luxusmárkák rv. ea.,2025-07-14,3.5244,3.5244,0.0
278,USA részvény eszközalap,2025-07-14,4.2232,4.2232,0.0
279,Ázsia kötvény eszközalap,2025-07-14,2.1971,2.1971,0.0
280,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-15,0.9272,0.9263,-0.001
281,Euró likviditás eszközalap - D,2025-07-15,0.9246,0.925,0.0004
282,Európai ingatlancégek részv. eszközalap,2025-07-15,1.848,1.8464,-0.0008
283,Európai kötvény eszközalap - D,2025-07-15,1.2257,1.2279,0.0018
284,Európai részvény eszközalap,2025-07-15,2.5244,2.516,-0.0033
285,Európai vállalati kötvény eszközalap,2025-07-15,1.3165,1.3179,0.0011
286,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-15,1.022,1.0348,0.0125
287,Fejlõdõ ázsiai részvény eszközalap,2025-07-15,2.0543,2.0853,0.0151
288,Fenntartható növekedés részvény eszk.,2025-07-15,3.0347,3.0371,0.0008
289,Globális egészségügyi részvény eszk.,2025-07-15,3.201,3.1958,-0.0016
290,Globális növekedési részvény eszközalap,2025-07-15,2.2403,2.2349,-0.0024
291,Kiegyensúlyozott vegyes eszközalap - D,2025-07-15,1.376,1.3791,0.0023
292,Latin-amerikai részvény eszközalap,2025-07-15,1.0432,1.0494,0.0059
293,Magas kötvény arányú vegyes eszk. - D,2025-07-15,1.0908,1.093,0.0021
294,Magas védelmû vegyes eszközalap,2025-07-15,1.0921,1.0915,-0.0006
295,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-15,3.1618,3.1553,-0.0021
296,Nyersanyagpiaci részvény eszközalap,2025-07-15,1.3208,1.3099,-0.0083
297,Presztízs- és luxusmárkák rv. ea.,2025-07-15,3.5119,3.5166,0.0013
298,USA részvény eszközalap,2025-07-15,4.234,4.237,0.0007
299,Ázsia kötvény eszközalap,2025-07-15,2.1956,2.1949,-0.0003
300,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-16,0.9263,0.9267,0.0005
301,Euró likviditás eszközalap - D,2025-07-16,0.925,0.9253,0.0003
302,Európai ingatlancégek részv. eszközalap,2025-07-16,1.8464,1.8297,-0.009
303,Európai kötvény eszközalap - D,2025-07-16,1.2279,1.2293,0.0011
304,Európai részvény eszközalap,2025-07-16,2.516,2.4923,-0.0094
305,Európai vállalati kötvény eszközalap,2025-07-16,1.3179,1.3184,0.0004
306,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-16,1.0348,1.0323,-0.0024
307,Fejlõdõ ázsiai részvény eszközalap,2025-07-16,2.0853,2.0858,0.0002
308,Fenntartható növekedés részvény eszk.,2025-07-16,3.0371,3.0344,-0.0009
309,Globális egészségügyi részvény eszk.,2025-07-16,3.1958,3.175,-0.0065
310,Globális növekedési részvény eszközalap,2025-07-16,2.2349,2.2377,0.0013
311,Kiegyensúlyozott vegyes eszközalap - D,2025-07-16,1.3791,1.3813,0.0015
312,Latin-amerikai részvény eszközalap,2025-07-16,1.0494,1.0429,-0.0062
313,Magas kötvény arányú vegyes eszk. - D,2025-07-16,1.093,1.0944,0.0013
314,Magas védelmû vegyes eszközalap,2025-07-16,1.0915,1.0897,-0.0017
315,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-16,3.1553,3.1333,-0.007
316,Nyersanyagpiaci részvény eszközalap,2025-07-16,1.3099,1.2943,-0.0119
317,Presztízs- és luxusmárkák rv. ea.,2025-07-16,3.5166,3.4949,-0.0062
318,USA részvény eszközalap,2025-07-16,4.237,4.2548,0.0042
319,Ázsia kötvény eszközalap,2025-07-16,2.1949,2.2048,0.0045
320,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-17,0.9267,0.9297,0.0032
321,Euró likviditás eszközalap - D,2025-07-17,0.9253,0.9253,0.0
322,Európai ingatlancégek részv. eszközalap,2025-07-17,1.8297,1.8365,0.0037
323,Európai kötvény eszközalap - D,2025-07-17,1.2293,1.2302,0.0008
324,Európai részvény eszközalap,2025-07-17,2.4923,2.5292,0.0148
325,Európai vállalati kötvény eszközalap,2025-07-17,1.3184,1.3192,0.0006
326,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-17,1.0323,1.0394,0.0069
327,Fejlõdõ ázsiai részvény eszközalap,2025-07-17,2.0858,2.097,0.0054
328,Fenntartható növekedés részvény eszk.,2025-07-17,3.0344,3.0637,0.0097
329,Globális egészségügyi részvény eszk.,2025-07-17,3.175,3.1464,-0.009
330,Globális növekedési részvény eszközalap,2025-07-17,2.2377,2.2692,0.014
