id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
516,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-28,3.1611,2025-06-28,3.1611,0.0,0.4161,1.0,0.9629,-3.71
517,Nyersanyagpiaci részvény eszközalap,2025-06-28,1.2933,2025-06-28,1.2933,0.0,0.3025,1.0,0.9903,-0.97
518,Presztízs- és luxusmárkák rv. ea.,2025-06-28,3.3415,2025-06-28,3.3415,0.0,1.962,1.0,0.9791,-2.09
519,USA részvény eszközalap,2025-06-28,4.1657,2025-06-28,4.1657,0.0,0.5212,1.0,0.997,-0.3
520,Ázsia kötvény eszközalap,2025-06-28,2.192,2025-06-28,2.192,0.0,0.1966,1.0,0.9863,-1.37
521,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-29,0.928,2025-06-29,0.928,0.0,0.0,1.0,1.0005,0.05
522,Euró likviditás eszközalap - D,2025-06-29,0.9245,2025-06-29,0.9245,0.0,0.0,1.0,0.9983,-0.17
523,Európai ingatlancégek részv. eszközalap,2025-06-29,1.9159,2025-06-29,1.9159,0.0,0.0,1.0,0.9829,-1.71
524,Európai kötvény eszközalap - D,2025-06-29,1.2303,2025-06-29,1.2303,0.0,0.0,1.0,0.9918,-0.82
525,Európai részvény eszközalap,2025-06-29,2.5187,2025-06-29,2.5187,0.0,0.0,1.0,0.9952,-0.48
526,Európai vállalati kötvény eszközalap,2025-06-29,1.3133,2025-06-29,1.3133,0.0,0.0,1.0,0.9959,-0.41
527,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-29,1.0265,2025-06-29,1.0265,0.0,0.0,1.0,1.0044,0.44
528,Fejlõdõ ázsiai részvény eszközalap,2025-06-29,2.0197,2025-06-29,2.0197,0.0,0.0,1.0,1.0312,3.12
529,Fenntartható növekedés részvény eszk.,2025-06-29,3.0255,2025-06-29,3.0255,0.0,0.0,1.0,0.9978,-0.22
530,Globális egészségügyi részvény eszk.,2025-06-29,3.203,2025-06-29,3.203,0.0,0.0,1.0,1.0119,1.19
531,Globális növekedési részvény eszközalap,2025-06-29,2.2504,2025-06-29,2.2504,0.0,0.0,1.0,0.9817,-1.83
532,Kiegyensúlyozott vegyes eszközalap - D,2025-06-29,1.3718,2025-06-29,1.3718,0.0,0.0,1.0,0.9974,-0.26
533,Latin-amerikai részvény eszközalap,2025-06-29,1.085,2025-06-29,1.085,0.0,0.0,1.0,0.9909,-0.91
534,Magas kötvény arányú vegyes eszk. - D,2025-06-29,1.0916,2025-06-29,1.0916,0.0,0.0,1.0,0.9949,-0.51
535,Magas védelmû vegyes eszközalap,2025-06-29,1.0899,2025-06-29,1.0899,0.0,0.0,1.0,0.997,-0.3
536,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-29,3.1611,2025-06-29,3.1611,0.0,0.0,1.0,0.9629,-3.71
537,Nyersanyagpiaci részvény eszközalap,2025-06-29,1.2933,2025-06-29,1.2933,0.0,0.0,1.0,0.9903,-0.97
538,Presztízs- és luxusmárkák rv. ea.,2025-06-29,3.3415,2025-06-29,3.3415,0.0,0.0,1.0,0.9791,-2.09
539,USA részvény eszközalap,2025-06-29,4.1657,2025-06-29,4.1657,0.0,0.0,1.0,0.997,-0.3
540,Ázsia kötvény eszközalap,2025-06-29,2.192,2025-06-29,2.192,0.0,0.0,1.0,0.9863,-1.37
541,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-30,0.928,2025-06-30,0.928,0.0,0.0,1.0,1.0005,0.05
542,Euró likviditás eszközalap - D,2025-06-30,0.9245,2025-06-30,0.9245,0.0,0.0,1.0,0.9983,-0.17
543,Európai ingatlancégek részv. eszközalap,2025-06-30,1.9159,2025-06-30,1.9159,0.0,0.0,1.0,0.9829,-1.71
544,Európai kötvény eszközalap - D,2025-06-30,1.2303,2025-06-30,1.2303,0.0,0.0,1.0,0.9918,-0.82
545,Európai részvény eszközalap,2025-06-30,2.5187,2025-06-30,2.5187,0.0,0.0,1.0,0.9952,-0.48
546,Európai vállalati kötvény eszközalap,2025-06-30,1.3133,2025-06-30,1.3133,0.0,0.0,1.0,0.9959,-0.41
547,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-30,1.0265,2025-06-30,1.0265,0.0,0.0,1.0,1.0044,0.44
548,Fejlõdõ ázsiai részvény eszközalap,2025-06-30,2.0197,2025-06-30,2.0197,0.0,0.0,1.0,1.0312,3.12
549,Fenntartható növekedés részvény eszk.,2025-06-30,3.0255,2025-06-30,3.0255,0.0,0.0,1.0,0.9978,-0.22
550,Globális egészségügyi részvény eszk.,2025-06-30,3.203,2025-06-30,3.203,0.0,0.0,1.0,1.0119,1.19
551,Globális növekedési részvény eszközalap,2025-06-30,2.2504,2025-06-30,2.2504,0.0,0.0,1.0,0.9817,-1.83
552,Kiegyensúlyozott vegyes eszközalap - D,2025-06-30,1.3718,2025-06-30,1.3718,0.0,0.0,1.0,0.9974,-0.26
553,Latin-amerikai részvény eszközalap,2025-06-30,1.085,2025-06-30,1.085,0.0,0.0,1.0,0.9909,-0.91
554,Magas kötvény arányú vegyes eszk. - D,2025-06-30,1.0916,2025-06-30,1.0916,0.0,0.0,1.0,0.9949,-0.51
555,Magas védelmû vegyes eszközalap,2025-06-30,1.0899,2025-06-30,1.0899,0.0,0.0,1.0,0.997,-0.3
556,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-30,3.1611,2025-06-30,3.1611,0.0,0.0,1.0,0.9629,-3.71
557,Nyersanyagpiaci részvény eszközalap,2025-06-30,1.2933,2025-06-30,1.2933,0.0,0.0,1.0,0.9903,-0.97
558,Presztízs- és luxusmárkák rv. ea.,2025-06-30,3.3415,2025-06-30,3.3415,0.0,0.0,1.0,0.9791,-2.09
559,USA részvény eszközalap,2025-06-30,4.1657,2025-06-30,4.1657,0.0,0.0,1.0,0.997,-0.3
560,Ázsia kötvény eszközalap,2025-06-30,2.192,2025-06-30,2.192,0.0,0.0,1.0,0.9863,-1.37
561,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-01,0.9286,2025-07-02,0.9286,0.0,0.0647,1.0,1.0005,0.05
562,Euró likviditás eszközalap - D,2025-07-01,0.9248,2025-07-02,0.925,0.0002,0.0324,1.0002,0.9985,-0.15
563,Európai ingatlancégek részv. eszközalap,2025-07-01,1.912,2025-07-02,1.9225,0.0055,-0.2036,1.0055,0.9883,-1.17
564,Európai kötvény eszközalap - D,2025-07-01,1.2312,2025-07-02,1.2332,0.0016,0.0732,1.0016,0.9934,-0.66
565,Európai részvény eszközalap,2025-07-01,2.5093,2025-07-02,2.4966,-0.0051,-0.3732,0.9949,0.9901,-0.99
566,Európai vállalati kötvény eszközalap,2025-07-01,1.3146,2025-07-02,1.3169,0.0018,0.099,1.0018,0.9977,-0.23
567,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-01,1.0174,2025-07-02,1.0202,0.0028,-0.8865,1.0028,1.0072,0.72
568,Fejlõdõ ázsiai részvény eszközalap,2025-07-01,2.0138,2025-07-02,2.0137,0.0,-0.2921,1.0,1.0312,3.12
569,Fenntartható növekedés részvény eszk.,2025-07-01,3.0244,2025-07-02,3.0074,-0.0056,-0.0364,0.9944,0.9922,-0.78
570,Globális egészségügyi részvény eszk.,2025-07-01,3.1975,2025-07-02,3.2128,0.0048,-0.1717,1.0048,1.0168,1.68
571,Globális növekedési részvény eszközalap,2025-07-01,2.2508,2025-07-02,2.2384,-0.0055,0.0178,0.9945,0.9763,-2.37
572,Kiegyensúlyozott vegyes eszközalap - D,2025-07-01,1.3736,2025-07-02,1.3738,0.0002,0.1312,1.0002,0.9976,-0.24
573,Latin-amerikai részvény eszközalap,2025-07-01,1.0879,2025-07-02,1.0957,0.0072,0.2673,1.0072,0.998,-0.2
574,Magas kötvény arányú vegyes eszk. - D,2025-07-01,1.0927,2025-07-02,1.0938,0.001,0.1008,1.001,0.9959,-0.41
575,Magas védelmû vegyes eszközalap,2025-07-01,1.0894,2025-07-02,1.0885,-0.0008,-0.0459,0.9992,0.9962,-0.38
576,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-01,3.158,2025-07-02,3.1954,0.0118,-0.0981,1.0118,0.9742,-2.58
577,Nyersanyagpiaci részvény eszközalap,2025-07-01,1.2873,2025-07-02,1.3008,0.0105,-0.4639,1.0105,1.0007,0.07
578,Presztízs- és luxusmárkák rv. ea.,2025-07-01,3.3474,2025-07-02,3.3824,0.0105,0.1766,1.0105,0.9894,-1.06
579,USA részvény eszközalap,2025-07-01,4.1783,2025-07-02,4.1594,-0.0045,0.3025,0.9955,0.9925,-0.75
580,Ázsia kötvény eszközalap,2025-07-01,2.1914,2025-07-02,2.1809,-0.0048,-0.0274,0.9952,0.9815,-1.85
581,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-02,0.9286,2025-07-03,0.9283,-0.0002,0.0,0.9998,1.0003,0.03
582,Euró likviditás eszközalap - D,2025-07-02,0.925,2025-07-03,0.9247,-0.0003,0.0216,0.9997,0.9982,-0.18
583,Európai ingatlancégek részv. eszközalap,2025-07-02,1.9225,2025-07-03,1.8802,-0.022,0.5492,0.978,0.9665,-3.35
584,Európai kötvény eszközalap - D,2025-07-02,1.2332,2025-07-03,1.2298,-0.0027,0.1624,0.9973,0.9907,-0.93
585,Európai részvény eszközalap,2025-07-02,2.4966,2025-07-03,2.5049,0.0033,-0.5061,1.0033,0.9934,-0.66
586,Európai vállalati kötvény eszközalap,2025-07-02,1.3169,2025-07-03,1.3164,-0.0004,0.175,0.9996,0.9973,-0.27
587,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-02,1.0202,2025-07-03,1.021,0.0008,0.2752,1.0008,1.008,0.8
588,Fejlõdõ ázsiai részvény eszközalap,2025-07-02,2.0137,2025-07-03,2.0128,-0.0005,-0.005,0.9995,1.0307,3.07
589,Fenntartható növekedés részvény eszk.,2025-07-02,3.0074,2025-07-03,3.0103,0.001,-0.5621,1.001,0.9932,-0.68
590,Globális egészségügyi részvény eszk.,2025-07-02,3.2128,2025-07-03,3.2305,0.0055,0.4785,1.0055,1.0224,2.24
591,Globális növekedési részvény eszközalap,2025-07-02,2.2384,2025-07-03,2.2297,-0.0039,-0.5509,0.9961,0.9725,-2.75
592,Kiegyensúlyozott vegyes eszközalap - D,2025-07-02,1.3738,2025-07-03,1.3727,-0.0008,0.0146,0.9992,0.9968,-0.32
593,Latin-amerikai részvény eszközalap,2025-07-02,1.0957,2025-07-03,1.0945,-0.001,0.717,0.999,0.997,-0.3
594,Magas kötvény arányú vegyes eszk. - D,2025-07-02,1.0938,2025-07-03,1.0918,-0.0019,0.1007,0.9981,0.994,-0.6
595,Magas védelmû vegyes eszközalap,2025-07-02,1.0885,2025-07-03,1.0899,0.0013,-0.0826,1.0013,0.9975,-0.25
596,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-02,3.1954,2025-07-03,3.1761,-0.006,1.1843,0.994,0.9684,-3.16
597,Nyersanyagpiaci részvény eszközalap,2025-07-02,1.3008,2025-07-03,1.3173,0.0127,1.0487,1.0127,1.0134,1.34
598,Presztízs- és luxusmárkák rv. ea.,2025-07-02,3.3824,2025-07-03,3.4428,0.0179,1.0456,1.0179,1.0071,0.71
599,USA részvény eszközalap,2025-07-02,4.1594,2025-07-03,4.1886,0.007,-0.4523,1.007,0.9995,-0.05
600,Ázsia kötvény eszközalap,2025-07-02,2.1809,2025-07-03,2.1844,0.0016,-0.4791,1.0016,0.9831,-1.69
601,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-03,0.9283,2025-07-04,0.9311,0.003,-0.0323,1.003,1.0033,0.33
602,Euró likviditás eszközalap - D,2025-07-03,0.9247,2025-07-04,0.9252,0.0005,-0.0324,1.0005,0.9987,-0.13
603,Európai ingatlancégek részv. eszközalap,2025-07-03,1.8802,2025-07-04,1.8885,0.0044,-2.2003,1.0044,0.9708,-2.92
604,Európai kötvény eszközalap - D,2025-07-03,1.2298,2025-07-04,1.2329,0.0025,-0.2757,1.0025,0.9932,-0.68
605,Európai részvény eszközalap,2025-07-03,2.5049,2025-07-04,2.5182,0.0053,0.3325,1.0053,0.9987,-0.13
606,Európai vállalati kötvény eszközalap,2025-07-03,1.3164,2025-07-04,1.3196,0.0024,-0.038,1.0024,0.9997,-0.03
607,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-03,1.021,2025-07-04,1.0334,0.0122,0.0784,1.0122,1.0203,2.03
608,Fejlõdõ ázsiai részvény eszközalap,2025-07-03,2.0128,2025-07-04,2.0378,0.0124,-0.0447,1.0124,1.0434,4.34
609,Fenntartható növekedés részvény eszk.,2025-07-03,3.0103,2025-07-04,3.042,0.0105,0.0964,1.0105,1.0036,0.36
610,Globális egészségügyi részvény eszk.,2025-07-03,3.2305,2025-07-04,3.2174,-0.0041,0.5509,0.9959,1.0182,1.82
611,Globális növekedési részvény eszközalap,2025-07-03,2.2297,2025-07-04,2.2521,0.0101,-0.3887,1.0101,0.9823,-1.77
612,Kiegyensúlyozott vegyes eszközalap - D,2025-07-03,1.3727,2025-07-04,1.3799,0.0053,-0.0801,1.0053,1.002,0.2
613,Latin-amerikai részvény eszközalap,2025-07-03,1.0945,2025-07-04,1.1109,0.0149,-0.1095,1.0149,1.0119,1.19
614,Magas kötvény arányú vegyes eszk. - D,2025-07-03,1.0918,2025-07-04,1.0961,0.0039,-0.1828,1.0039,0.9979,-0.21
615,Magas védelmû vegyes eszközalap,2025-07-03,1.0899,2025-07-04,1.0909,0.0009,0.1286,1.0009,0.9984,-0.16
616,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-03,3.1761,2025-07-04,3.1943,0.0057,-0.604,1.0057,0.9739,-2.61
617,Nyersanyagpiaci részvény eszközalap,2025-07-03,1.3173,2025-07-04,1.3229,0.0043,1.2685,1.0043,1.0177,1.77
618,Presztízs- és luxusmárkák rv. ea.,2025-07-03,3.4428,2025-07-04,3.4694,0.0077,1.7857,1.0077,1.0148,1.48
619,USA részvény eszközalap,2025-07-03,4.1886,2025-07-04,4.2284,0.0095,0.702,1.0095,1.009,0.9
620,Ázsia kötvény eszközalap,2025-07-03,2.1844,2025-07-04,2.181,-0.0015,0.1605,0.9985,0.9816,-1.84
621,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-04,0.9311,2025-07-05,0.9311,0.0,0.3016,1.0,1.0033,0.33
622,Euró likviditás eszközalap - D,2025-07-04,0.9252,2025-07-05,0.9256,0.0004,0.0541,1.0004,0.9991,-0.09
623,Európai ingatlancégek részv. eszközalap,2025-07-04,1.8885,2025-07-05,1.8764,-0.0064,0.4414,0.9936,0.9646,-3.54
624,Európai kötvény eszközalap - D,2025-07-04,1.2329,2025-07-05,1.2344,0.0012,0.2521,1.0012,0.9944,-0.56
625,Európai részvény eszközalap,2025-07-04,2.5182,2025-07-05,2.4958,-0.0089,0.531,0.9911,0.9898,-1.02
626,Európai vállalati kötvény eszközalap,2025-07-04,1.3196,2025-07-05,1.3209,0.001,0.2431,1.001,1.0007,0.07
627,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-04,1.0334,2025-07-05,1.0234,-0.0097,1.2145,0.9903,1.0104,1.04
628,Fejlõdõ ázsiai részvény eszközalap,2025-07-04,2.0378,2025-07-05,2.0195,-0.009,1.2421,0.991,1.0341,3.41
629,Fenntartható növekedés részvény eszk.,2025-07-04,3.042,2025-07-05,3.0419,0.0,1.0531,1.0,1.0036,0.36
630,Globális egészségügyi részvény eszk.,2025-07-04,3.2174,2025-07-05,3.2224,0.0016,-0.4055,1.0016,1.0198,1.98
631,Globális növekedési részvény eszközalap,2025-07-04,2.2521,2025-07-05,2.2521,0.0,1.0046,1.0,0.9823,-1.77
632,Kiegyensúlyozott vegyes eszközalap - D,2025-07-04,1.3799,2025-07-05,1.3809,0.0007,0.5245,1.0007,1.0027,0.27
633,Latin-amerikai részvény eszközalap,2025-07-04,1.1109,2025-07-05,1.1083,-0.0023,1.4984,0.9977,1.0096,0.96
634,Magas kötvény arányú vegyes eszk. - D,2025-07-04,1.0961,2025-07-05,1.097,0.0009,0.3938,1.0009,0.9988,-0.12
635,Magas védelmû vegyes eszközalap,2025-07-04,1.0909,2025-07-05,1.0889,-0.0018,0.0918,0.9982,0.9966,-0.34
636,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-04,3.1943,2025-07-05,3.1881,-0.0019,0.573,0.9981,0.972,-2.8
637,Nyersanyagpiaci részvény eszközalap,2025-07-04,1.3229,2025-07-05,1.3138,-0.0069,0.4251,0.9931,1.0107,1.07
638,Presztízs- és luxusmárkák rv. ea.,2025-07-04,3.4694,2025-07-05,3.4326,-0.0106,0.7726,0.9894,1.0041,0.41
639,USA részvény eszközalap,2025-07-04,4.2284,2025-07-05,4.2283,0.0,0.9502,1.0,1.009,0.9
640,Ázsia kötvény eszközalap,2025-07-04,2.181,2025-07-05,2.1851,0.0019,-0.1556,1.0019,0.9835,-1.65
641,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-05,0.9311,2025-07-05,0.9311,0.0,0.0,1.0,1.0033,0.33
642,Euró likviditás eszközalap - D,2025-07-05,0.9256,2025-07-05,0.9256,0.0,0.0432,1.0,0.9991,-0.09
643,Európai ingatlancégek részv. eszközalap,2025-07-05,1.8764,2025-07-05,1.8764,0.0,-0.6407,1.0,0.9646,-3.54
644,Európai kötvény eszközalap - D,2025-07-05,1.2344,2025-07-05,1.2344,0.0,0.1217,1.0,0.9944,-0.56
645,Európai részvény eszközalap,2025-07-05,2.4958,2025-07-05,2.4958,0.0,-0.8895,1.0,0.9898,-1.02
646,Európai vállalati kötvény eszközalap,2025-07-05,1.3209,2025-07-05,1.3209,0.0,0.0985,1.0,1.0007,0.07
647,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-05,1.0234,2025-07-05,1.0234,0.0,-0.9677,1.0,1.0104,1.04
648,Fejlõdõ ázsiai részvény eszközalap,2025-07-05,2.0195,2025-07-05,2.0195,0.0,-0.898,1.0,1.0341,3.41
649,Fenntartható növekedés részvény eszk.,2025-07-05,3.0419,2025-07-05,3.0419,0.0,-0.0033,1.0,1.0036,0.36
650,Globális egészségügyi részvény eszk.,2025-07-05,3.2224,2025-07-05,3.2224,0.0,0.1554,1.0,1.0198,1.98
651,Globális növekedési részvény eszközalap,2025-07-05,2.2521,2025-07-05,2.2521,0.0,0.0,1.0,0.9823,-1.77
652,Kiegyensúlyozott vegyes eszközalap - D,2025-07-05,1.3809,2025-07-05,1.3809,0.0,0.0725,1.0,1.0027,0.27
653,Latin-amerikai részvény eszközalap,2025-07-05,1.1083,2025-07-05,1.1083,0.0,-0.234,1.0,1.0096,0.96
654,Magas kötvény arányú vegyes eszk. - D,2025-07-05,1.097,2025-07-05,1.097,0.0,0.0821,1.0,0.9988,-0.12
655,Magas védelmû vegyes eszközalap,2025-07-05,1.0889,2025-07-05,1.0889,0.0,-0.1833,1.0,0.9966,-0.34
656,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-05,3.1881,2025-07-05,3.1881,0.0,-0.1941,1.0,0.972,-2.8
657,Nyersanyagpiaci részvény eszközalap,2025-07-05,1.3138,2025-07-05,1.3138,0.0,-0.6879,1.0,1.0107,1.07
658,Presztízs- és luxusmárkák rv. ea.,2025-07-05,3.4326,2025-07-05,3.4326,0.0,-1.0607,1.0,1.0041,0.41
659,USA részvény eszközalap,2025-07-05,4.2283,2025-07-05,4.2283,0.0,-0.0024,1.0,1.009,0.9
660,Ázsia kötvény eszközalap,2025-07-05,2.1851,2025-07-05,2.1851,0.0,0.188,1.0,0.9835,-1.65
661,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-06,0.9311,2025-07-06,0.9311,0.0,0.0,1.0,1.0033,0.33
662,Euró likviditás eszközalap - D,2025-07-06,0.9256,2025-07-06,0.9256,0.0,0.0,1.0,0.9991,-0.09
663,Európai ingatlancégek részv. eszközalap,2025-07-06,1.8764,2025-07-06,1.8764,0.0,0.0,1.0,0.9646,-3.54
664,Európai kötvény eszközalap - D,2025-07-06,1.2344,2025-07-06,1.2344,0.0,0.0,1.0,0.9944,-0.56
665,Európai részvény eszközalap,2025-07-06,2.4958,2025-07-06,2.4958,0.0,0.0,1.0,0.9898,-1.02
666,Európai vállalati kötvény eszközalap,2025-07-06,1.3209,2025-07-06,1.3209,0.0,0.0,1.0,1.0007,0.07
667,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-06,1.0234,2025-07-06,1.0234,0.0,0.0,1.0,1.0104,1.04
668,Fejlõdõ ázsiai részvény eszközalap,2025-07-06,2.0195,2025-07-06,2.0195,0.0,0.0,1.0,1.0341,3.41
669,Fenntartható növekedés részvény eszk.,2025-07-06,3.0419,2025-07-06,3.0419,0.0,0.0,1.0,1.0036,0.36
670,Globális egészségügyi részvény eszk.,2025-07-06,3.2224,2025-07-06,3.2224,0.0,0.0,1.0,1.0198,1.98
671,Globális növekedési részvény eszközalap,2025-07-06,2.2521,2025-07-06,2.2521,0.0,0.0,1.0,0.9823,-1.77
672,Kiegyensúlyozott vegyes eszközalap - D,2025-07-06,1.3809,2025-07-06,1.3809,0.0,0.0,1.0,1.0027,0.27
673,Latin-amerikai részvény eszközalap,2025-07-06,1.1083,2025-07-06,1.1083,0.0,0.0,1.0,1.0096,0.96
674,Magas kötvény arányú vegyes eszk. - D,2025-07-06,1.097,2025-07-06,1.097,0.0,0.0,1.0,0.9988,-0.12
675,Magas védelmû vegyes eszközalap,2025-07-06,1.0889,2025-07-06,1.0889,0.0,0.0,1.0,0.9966,-0.34
676,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-06,3.1881,2025-07-06,3.1881,0.0,0.0,1.0,0.972,-2.8
677,Nyersanyagpiaci részvény eszközalap,2025-07-06,1.3138,2025-07-06,1.3138,0.0,0.0,1.0,1.0107,1.07
678,Presztízs- és luxusmárkák rv. ea.,2025-07-06,3.4326,2025-07-06,3.4326,0.0,0.0,1.0,1.0041,0.41
679,USA részvény eszközalap,2025-07-06,4.2283,2025-07-06,4.2283,0.0,0.0,1.0,1.009,0.9
680,Ázsia kötvény eszközalap,2025-07-06,2.1851,2025-07-06,2.1851,0.0,0.0,1.0,0.9835,-1.65
681,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-07,0.9311,2025-07-07,0.9311,0.0,0.0,1.0,1.0033,0.33
682,Euró likviditás eszközalap - D,2025-07-07,0.9256,2025-07-07,0.9256,0.0,0.0,1.0,0.9991,-0.09
683,Európai ingatlancégek részv. eszközalap,2025-07-07,1.8764,2025-07-07,1.8764,0.0,0.0,1.0,0.9646,-3.54
684,Európai kötvény eszközalap - D,2025-07-07,1.2344,2025-07-07,1.2344,0.0,0.0,1.0,0.9944,-0.56
685,Európai részvény eszközalap,2025-07-07,2.4958,2025-07-07,2.4958,0.0,0.0,1.0,0.9898,-1.02
686,Európai vállalati kötvény eszközalap,2025-07-07,1.3209,2025-07-07,1.3209,0.0,0.0,1.0,1.0007,0.07
687,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-07,1.0234,2025-07-07,1.0234,0.0,0.0,1.0,1.0104,1.04
688,Fejlõdõ ázsiai részvény eszközalap,2025-07-07,2.0195,2025-07-07,2.0195,0.0,0.0,1.0,1.0341,3.41
689,Fenntartható növekedés részvény eszk.,2025-07-07,3.0419,2025-07-07,3.0419,0.0,0.0,1.0,1.0036,0.36
690,Globális egészségügyi részvény eszk.,2025-07-07,3.2224,2025-07-07,3.2224,0.0,0.0,1.0,1.0198,1.98
691,Globális növekedési részvény eszközalap,2025-07-07,2.2521,2025-07-07,2.2521,0.0,0.0,1.0,0.9823,-1.77
692,Kiegyensúlyozott vegyes eszközalap - D,2025-07-07,1.3809,2025-07-07,1.3809,0.0,0.0,1.0,1.0027,0.27
693,Latin-amerikai részvény eszközalap,2025-07-07,1.1083,2025-07-07,1.1083,0.0,0.0,1.0,1.0096,0.96
694,Magas kötvény arányú vegyes eszk. - D,2025-07-07,1.097,2025-07-07,1.097,0.0,0.0,1.0,0.9988,-0.12
695,Magas védelmû vegyes eszközalap,2025-07-07,1.0889,2025-07-07,1.0889,0.0,0.0,1.0,0.9966,-0.34
696,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-07,3.1881,2025-07-07,3.1881,0.0,0.0,1.0,0.972,-2.8
697,Nyersanyagpiaci részvény eszközalap,2025-07-07,1.3138,2025-07-07,1.3138,0.0,0.0,1.0,1.0107,1.07
698,Presztízs- és luxusmárkák rv. ea.,2025-07-07,3.4326,2025-07-07,3.4326,0.0,0.0,1.0,1.0041,0.41
699,USA részvény eszközalap,2025-07-07,4.2283,2025-07-07,4.2283,0.0,0.0,1.0,1.009,0.9
700,Ázsia kötvény eszközalap,2025-07-07,2.1851,2025-07-07,2.1851,0.0,0.0,1.0,0.9835,-1.65
701,Aktív hozamfigyelõ vegyes eszközalap - D,2025-07-08,0.9283,2025-07-09,0.9274,-0.001,-0.3007,0.999,1.0022,0.22
702,Euró likviditás eszközalap - D,2025-07-08,0.9252,2025-07-09,0.9248,-0.0005,-0.0432,0.9995,0.9986,-0.14
703,Európai ingatlancégek részv. eszközalap,2025-07-08,1.8724,2025-07-09,1.8516,-0.0111,-0.2132,0.9889,0.9539,-4.61
704,Európai kötvény eszközalap - D,2025-07-08,1.2315,2025-07-09,1.2286,-0.0023,-0.2349,0.9977,0.9921,-0.79
705,Európai részvény eszközalap,2025-07-08,2.5173,2025-07-09,2.5236,0.0025,0.8614,1.0025,0.9922,-0.78
706,Európai vállalati kötvény eszközalap,2025-07-08,1.3193,2025-07-09,1.3176,-0.0013,-0.1211,0.9987,0.9994,-0.06
707,Fejlõdõ piaci részvény ESG eszközalap-D,2025-07-08,1.0236,2025-07-09,1.0243,0.0007,0.0195,1.0007,1.0111,1.11
708,Fejlõdõ ázsiai részvény eszközalap,2025-07-08,2.0325,2025-07-09,2.0491,0.0082,0.6437,1.0082,1.0425,4.25
709,Fenntartható növekedés részvény eszk.,2025-07-08,3.0323,2025-07-09,3.034,0.0006,-0.3156,1.0006,1.0042,0.42
710,Globális egészségügyi részvény eszk.,2025-07-08,3.2042,2025-07-09,3.2015,-0.0008,-0.5648,0.9992,1.019,1.9
711,Globális növekedési részvény eszközalap,2025-07-08,2.2422,2025-07-09,2.2472,0.0022,-0.4396,1.0022,0.9845,-1.55
712,Kiegyensúlyozott vegyes eszközalap - D,2025-07-08,1.3778,2025-07-09,1.3758,-0.0014,-0.2245,0.9986,1.0013,0.13
713,Latin-amerikai részvény eszközalap,2025-07-08,1.0986,2025-07-09,1.0886,-0.0091,-0.8752,0.9909,1.0004,0.04
714,Magas kötvény arányú vegyes eszk. - D,2025-07-08,1.0944,2025-07-09,1.0923,-0.0019,-0.237,0.9981,0.9969,-0.31
715,Magas védelmû vegyes eszközalap,2025-07-08,1.0909,2025-07-09,1.0921,0.0012,0.1837,1.0012,0.9978,-0.22
716,Nemz. élelmiszeripari cégek rv. ea - D,2025-07-08,3.1965,2025-07-09,3.1853,-0.0035,0.2635,0.9965,0.9686,-3.14
717,Nyersanyagpiaci részvény eszközalap,2025-07-08,1.3147,2025-07-09,1.3154,0.0005,0.0685,1.0005,1.0112,1.12
718,Presztízs- és luxusmárkák rv. ea.,2025-07-08,3.4395,2025-07-09,3.4811,0.0121,0.201,1.0121,1.0162,1.62
719,USA részvény eszközalap,2025-07-08,4.1973,2025-07-09,4.2023,0.0012,-0.7332,1.0012,1.0102,1.02
720,Ázsia kötvény eszközalap,2025-07-08,2.1904,2025-07-09,2.1824,-0.0036,0.2426,0.9964,0.9799,-2.01
