id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
16,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-03,3.3131,2025-06-04,3.3222,0.0028,1.0028,1.0028,0.0028,,,,,,,,,,,,
17,Nyersanyagpiaci részvény eszközalap,2025-06-03,1.3091,2025-06-04,1.3136,0.0034,1.0034,1.0034,0.0034,,,,,,,,,,,,
18,Presztízs- és luxusmárkák rv. ea.,2025-06-03,3.341,2025-06-04,3.3888,0.0143,1.0143,1.0143,0.0143,,,,,,,,,,,,
19,USA részvény eszközalap,2025-06-03,4.1212,2025-06-04,4.1587,0.0091,1.0091,1.0091,0.0091,,,,,,,,,,,,
20,Ázsia kötvény eszközalap,2025-06-03,2.2249,2025-06-04,2.2275,0.0012,1.0012,1.0012,0.0012,,,,,,,,,,,,
21,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-04,0.9238,2025-06-05,0.9259,0.0023,1.0023,1.0049,0.0049,,,,,,,,,,,,
22,Euró likviditás eszközalap - D,2025-06-04,0.925,2025-06-05,0.9247,-0.0003,0.9997,0.9999,-0.0001,,,,,,,,,,,,
23,Európai ingatlancégek részv. eszközalap,2025-06-04,1.8929,2025-06-05,1.8868,-0.0032,0.9968,0.9938,-0.0062,,,,,,,,,,,,
24,Európai kötvény eszközalap - D,2025-06-04,1.2348,2025-06-05,1.2336,-0.001,0.999,0.9999,-0.0001,,,,,,,,,,,,
25,Európai részvény eszközalap,2025-06-04,2.5268,2025-06-05,2.5371,0.0041,1.0041,1.0063,0.0063,,,,,,,,,,,,
26,Európai vállalati kötvény eszközalap,2025-06-04,1.314,2025-06-05,1.3133,-0.0005,0.9995,1.0005,0.0005,,,,,,,,,,,,
27,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-04,1.0202,2025-06-05,1.0243,0.004,1.004,1.0114,0.0114,,,,,,,,,,,,
28,Fejlõdõ ázsiai részvény eszközalap,2025-06-04,1.952,2025-06-05,1.9589,0.0035,1.0035,1.0207,0.0207,,,,,,,,,,,,
29,Fenntartható növekedés részvény eszk.,2025-06-04,3.027,2025-06-05,3.0311,0.0014,1.0014,1.0097,0.0097,,,,,,,,,,,,
30,Globális egészségügyi részvény eszk.,2025-06-04,3.169,2025-06-05,3.2025,0.0105,1.0105,1.0146,0.0146,,,,,,,,,,,,
